year,full_name,avg_tds,bucket_num,bucket
2009,Aaron Rodgers,1.88,3,ok
2009,Carson Palmer,1.31,2,meh
2009,Eli Manning,1.69,3,ok
2009,Joe Flacco,1.31,2,meh
2009,Matt Schaub,1.81,3,ok
2009,Philip Rivers,1.75,3,ok
2009,Tom Brady,1.75,3,ok
2010,Carson Palmer,1.63,3,ok
2010,Drew Brees,2.06,4,good
2010,Eli Manning,1.94,3,ok
2010,Joe Flacco,1.56,3,ok
2010,Matt Ryan,1.75,3,ok
2010,Matt Schaub,1.50,3,ok
2010,Philip Rivers,1.88,3,ok
2010,Sam Bradford,1.13,2,meh
2010,Tom Brady,2.25,4,good
2011,Alex Smith,1.06,2,meh
2011,Andy Dalton,1.25,2,meh
2011,Cam Newton,1.31,2,meh
2011,Drew Brees,2.88,5,great
2011,Eli Manning,1.81,3,ok
2011,Joe Flacco,1.25,2,meh
2011,Mark Sanchez,1.63,3,ok
2011,Matt Ryan,1.81,3,ok
2011,Matthew Stafford,2.56,5,great
2011,Philip Rivers,1.69,3,ok
2011,Ryan Fitzpatrick,1.50,3,ok
2011,Tom Brady,2.44,4,good
2012,Aaron Rodgers,2.44,4,good
2012,Andrew Luck,1.44,2,meh
2012,Andy Dalton,1.69,3,ok
2012,Cam Newton,1.19,2,meh
2012,Drew Brees,2.69,5,great
2012,Eli Manning,1.63,3,ok
2012,Joe Flacco,1.38,2,meh
2012,Matt Ryan,2.00,4,good
2012,Matt Schaub,1.38,2,meh
2012,Matthew Stafford,1.25,2,meh
2012,Philip Rivers,1.63,3,ok
2012,Russell Wilson,1.63,3,ok
2012,Ryan Fitzpatrick,1.50,3,ok
2012,Ryan Tannehill,0.75,1,bad
2012,Sam Bradford,1.31,2,meh
2012,Tom Brady,2.13,4,good
2013,Andrew Luck,1.44,2,meh
2013,Andy Dalton,2.06,4,good
2013,Ben Roethlisberger,1.75,3,ok
2013,Cam Newton,1.50,3,ok
2013,Carson Palmer,1.50,3,ok
2013,Drew Brees,2.44,4,good
2013,Eli Manning,1.13,2,meh
2013,Geno Smith,0.75,1,bad
2013,Joe Flacco,1.19,2,meh
2013,Matt Ryan,1.63,3,ok
2013,Matthew Stafford,1.81,3,ok
2013,Philip Rivers,2.00,4,good
2013,Russell Wilson,1.63,3,ok
2013,Ryan Tannehill,1.44,2,meh
2013,Tom Brady,1.56,3,ok
2014,Aaron Rodgers,2.38,4,good
2014,Andrew Luck,2.50,5,great
2014,Andy Dalton,1.06,2,meh
2014,Ben Roethlisberger,1.88,3,ok
2014,Derek Carr,1.31,2,meh
2014,Drew Brees,2.06,4,good
2014,Eli Manning,1.88,3,ok
2014,Joe Flacco,1.69,3,ok
2014,Matt Ryan,1.75,3,ok
2014,Matthew Stafford,1.38,2,meh
2014,Philip Rivers,1.94,3,ok
2014,Russell Wilson,1.25,2,meh
2014,Ryan Tannehill,1.69,3,ok
2014,Tom Brady,2.06,4,good
2015,Aaron Rodgers,1.94,3,ok
2015,Alex Smith,1.25,2,meh
2015,Blake Bortles,2.19,4,good
2015,Cam Newton,2.19,4,good
2015,Carson Palmer,2.19,4,good
2015,Derek Carr,2.00,4,good
2015,Eli Manning,2.19,4,good
2015,Jameis Winston,1.38,2,meh
2015,Kirk Cousins,1.81,3,ok
2015,Matt Ryan,1.31,2,meh
2015,Matthew Stafford,2.00,4,good
2015,Philip Rivers,1.81,3,ok
2015,Russell Wilson,2.13,4,good
2015,Ryan Fitzpatrick,1.94,3,ok
2015,Ryan Tannehill,1.50,3,ok
2015,Teddy Bridgewater,0.88,1,bad
2015,Tom Brady,2.25,4,good
